Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Sr. No.
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,1
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,2
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,3
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,4
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,5
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,6
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,7
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,8
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,9
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,10
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,11
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,12
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,13
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,14
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,15
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,16
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,17
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,18
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,19
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,20
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,21
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,22
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,23
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,24
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,25
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,26
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,27
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,28
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,29
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,30
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,31
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,32
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,33
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,34
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,35
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,36
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,37
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,38
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,39
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,40
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,41
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,42
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,43
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,44
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,45
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,46
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,47
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,48
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,49
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,50
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,51
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,52
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,53
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,54
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,55
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,56
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,57
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,58
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,59
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,60
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,61
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,62
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,63
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,64
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,65
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,66
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,67
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,68
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,69
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,70
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,71
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,72
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,73
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,74
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,75
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,76
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,77
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,78
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,79
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,80
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,81
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,82
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,83
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,84
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,85
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,86
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,87
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,88
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,89
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,90
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,91
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,92
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,93
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,94
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,95
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,96
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,97
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,98
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,99
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,100
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,101
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,102
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,103
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,104
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,105
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,106
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,107
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,108
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,109
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,110
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,111
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,112
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,113
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,114
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,115
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,116
